size,1,2,3,4,5,6,7,8,9,10,11,12
128,2369,4073096,385282,406204,438574,531737,555422,637137,708982,758327,1938648,1054395
128,2368,275145,288961,365544,476866,555422,718851,726746,839646,858201,893729,978996
128,3158,284619,280277,375413,526605,439364,549106,577134,644637,693982,765038,843989
128,2368,268829,244354,389230,461470,489103,650558,602398,662796,771354,821488,958863
128,2369,264486,311068,328042,408573,502130,560554,639111,673849,742537,755959,967153
128,2368,273961,293304,381730,510025,470945,502919,584240,633979,647400,1501258,851885
128,2369,279883,251855,331201,381729,386072,502524,570423,683718,746484,883859,912677
128,3553,254223,341070,336332,408967,457523,517131,577529,669506,727142,840436,778460
128,2369,216721,295278,263697,367519,388045,483972,542790,586608,669507,828199,808066
128,2368,221853,298831,322516,424757,484761,538448,619373,590556,723983,733852,827409
128,3948,223432,300410,267250,363176,405020,436601,508446,566081,622531,794250,1017682
128,2368,238433,232117,345807,402651,422784,519499,615820,558580,645821,753195,846358
128,3947,225800,255408,285014,376598,403441,483971,481208,593319,723589,804118,877544
128,2369,207642,200142,276724,338701,396335,542001,500551,614241,646611,745695,772538
128,2369,198958,240801,288962,343833,494629,512789,536474,608714,629636,738589,806092
128,2764,206853,225406,312252,346596,397520,491077,567265,617794,678586,781223,748458
128,2764,213563,215537,270408,349359,389624,427127,470945,559764,648585,724378,701877
128,3158,198957,192642,239617,308305,370281,441337,497393,527789,613846,741352,798197
128,2368,205668,226984,292515,324095,394361,503314,591345,594898,654901,799381,918993
128,3553,285803,291330,292120,382519,431074,473708,526210,659638,647006,694377,855437
128,2369,341859,254223,228564,333175,363176,450022,495814,605556,693981,658453,791091
128,2368,263303,254223,335543,341464,410546,429495,528579,575160,628847,797408,828593
128,2368,236459,211590,267250,307121,354097,446075,641085,648585,641874,692798,702271
128,2764,219090,258960,313042,404625,433443,539632,617399,550685,605951,690823,730694
128,2369,208432,211984,271198,406994,382519,382519,487919,536080,574765,710957,716483
128,2368,198957,234091,276330,318173,360413,414099,497787,502130,582266,693192,734247
128,2369,222248,215537,281067,325280,346596,412520,527394,665954,563317,802145,778065
128,2369,208036,213169,257381,296462,364360,416862,500157,524631,584634,677402,699508
