search,split,n,time_taken
500,12500,10000,293849212
500,12500,10000,165210935
500,12500,10000,102238114
500,12500,10000,66326676
500,12500,10000,64530531
500,12500,10000,71883670
500,12500,10000,54129079
500,12500,10000,49273173
500,12500,10000,53293379
500,12500,10000,50151903
500,12500,10000,50015316
500,12500,10000,49913864
500,12500,10000,52576105
500,12500,10000,59335924
500,12500,10000,52540182
500,12500,10000,49632402
500,12500,10000,63487584
500,12500,10000,50142428
500,12500,10000,52713481
500,12500,10000,49723196
500,12500,10000,48588270
500,12500,10000,46796074
500,12500,10000,48693275
500,12500,10000,44599250
500,12500,10000,41613703
500,12500,10000,49603191
500,12500,10000,51408019
500,12500,10000,45859709
500,12500,10000,50350070
500,12500,10000,46250519
500,12500,10000,122270452
500,12500,10000,91424141
500,12500,10000,90291978
500,12500,10000,57716236
500,12500,10000,56891984
500,12500,10000,50102163
500,12500,10000,54350933
500,12500,10000,48197460
500,12500,10000,47938895
500,12500,10000,54085656
500,12500,10000,46062220
500,12500,10000,49464235
500,12500,10000,56179841
500,12500,10000,53196663
500,12500,10000,54930436
500,12500,10000,49616612
500,12500,10000,55824165
500,12500,10000,49577926
500,12500,10000,51256827
500,12500,10000,53843670
500,12500,10000,53022970
500,12500,10000,45845893
500,12500,10000,46656724
500,12500,10000,52605317
500,12500,10000,48375496
500,12500,10000,47285966
500,12500,10000,53072709
500,12500,10000,56517754
500,12500,10000,46667778
500,12500,10000,47534269
500,12500,10000,112754441
500,12500,10000,76205864
500,12500,10000,43695652
500,12500,10000,47246096
500,12500,10000,46952002
500,12500,10000,48360495
500,12500,10000,47848496
500,12500,10000,44221468
500,12500,10000,43625385
500,12500,10000,247999767
500,12500,10000,45518639
500,12500,10000,48028504
500,12500,10000,44829394
500,12500,10000,49240803
500,12500,10000,49461472
500,12500,10000,45305076
500,12500,10000,47022269
500,12500,10000,48340758
500,12500,10000,49467789
500,12500,10000,47029769
500,12500,10000,47874944
500,12500,10000,48485634
500,12500,10000,47008058
500,12500,10000,47995345
500,12500,10000,48642746
500,12500,10000,48765911
500,12500,10000,47403209
500,12500,10000,44688860
500,12500,10000,42944824
500,12500,10000,48207329
500,12500,10000,45900764
500,12500,10000,58026515
500,12500,10000,59304738
500,12500,10000,57746632
500,12500,10000,51530788
500,12500,10000,56496831
500,12500,10000,51080371
500,12500,10000,44780444
500,12500,10000,55275453
500,12500,10000,56641313
500,12500,10000,54214347
500,12500,10000,48563006
500,12500,10000,45910634
500,12500,10000,43973561
500,12500,10000,49581084
500,12500,10000,42629414
500,12500,10000,45340210
500,12500,10000,47581245
500,12500,10000,48899733
500,12500,10000,44369107
500,12500,10000,46108406
500,12500,10000,40263239
500,12500,10000,44564117
500,12500,10000,49222645
500,12500,10000,47883629
500,12500,10000,48904865
500,12500,10000,52166348
500,12500,10000,46348419
500,12500,10000,44947821
500,12500,10000,45122304
500,12500,10000,110773156
500,12500,10000,73557440
500,12500,10000,53914726
500,12500,10000,46526454
500,12500,10000,48441025
500,12500,10000,53022970
500,12500,10000,49858993
500,12500,10000,49896495
500,12500,10000,50102952
500,12500,10000,57216079
500,12500,10000,48643536
500,12500,10000,43516038
500,12500,10000,47725332
500,12500,10000,51194850
500,12500,10000,52463600
500,12500,10000,45523772
500,12500,10000,49253831
500,12500,10000,44432663
500,12500,10000,44966374
500,12500,10000,48034031
500,12500,10000,48842494
500,12500,10000,46178674
500,12500,10000,57062124
500,12500,10000,52544920
500,12500,10000,52249246
500,12500,10000,45504823
500,12500,10000,69236034
500,12500,10000,85637003
500,12500,10000,63500610
500,12500,10000,102686953
500,12500,10000,110850923
500,12500,10000,69675794
500,12500,10000,45824181
500,12500,10000,46854498
500,12500,10000,45591670
500,12500,10000,42338873
500,12500,10000,46253678
500,12500,10000,47405578
500,12500,10000,50120322
500,12500,10000,44129884
500,12500,10000,50782329
500,12500,10000,49230934
500,12500,10000,51171560
500,12500,10000,47218858
500,12500,10000,53064025
500,12500,10000,46048799
500,12500,10000,46217360
500,12500,10000,43862634
500,12500,10000,51513025
500,12500,10000,48835387
500,12500,10000,55298349
500,12500,10000,45841156
500,12500,10000,52609660
500,12500,10000,44791103
500,12500,10000,44532932
500,12500,10000,48756831
500,12500,10000,44332000
500,12500,10000,51946862
500,12500,10000,54080524
500,12500,10000,51442758
500,12500,10000,110546564
500,12500,10000,64836863
500,12500,10000,64106957
500,12500,10000,66724986
500,12500,10000,70228848
500,12500,10000,56908958
500,12500,10000,53852355
500,12500,10000,61113120
500,12500,10000,70775587
500,12500,10000,53023759
500,12500,10000,48081008
500,12500,10000,48498265
500,12500,10000,47158855
500,12500,10000,47554401
500,12500,10000,45004666
500,12500,10000,45930766
500,12500,10000,45693517
500,12500,10000,45259679
500,12500,10000,45232046
500,12500,10000,38309587
500,12500,10000,37825220
500,12500,10000,47132012
500,12500,10000,49492263
500,12500,10000,46684752
500,12500,10000,53358513
500,12500,10000,48042321
500,12500,10000,45553773
500,12500,10000,44165413
500,12500,10000,48098771
500,12500,10000,44213573
500,12500,10000,168202798
500,12500,10000,102984600
500,12500,10000,46398948
500,12500,10000,50868782
500,12500,10000,49348177
500,12500,10000,45024009
500,12500,10000,46399342
500,12500,10000,61972111
500,12500,10000,43885530
500,12500,10000,44742153
500,12500,10000,57766765
500,12500,10000,45787864
500,12500,10000,49921364
500,12500,10000,49719249
500,12500,10000,46508295
500,12500,10000,45643778
