split,n,time_taken,line_consumers,line_searchers
12500,10000,2,2,91945220
12500,10000,2,2,64721989
12500,10000,2,2,50822989
12500,10000,2,2,50014132
12500,10000,2,2,52585184
12500,10000,3,1,41679233
12500,10000,3,1,37354670
12500,10000,3,1,39012650
12500,10000,3,1,35776037
12500,10000,3,1,38047469
12500,200000,2,2,1238518887
12500,200000,2,2,1169809853
12500,200000,2,2,1141037200
12500,200000,2,2,1206694368
12500,200000,2,2,1175383032
12500,200000,3,1,1164753805
12500,200000,3,1,1171641525
12500,200000,3,1,1151861438
12500,200000,3,1,1158316503
12500,200000,3,1,1137341090
12500,400000,2,2,2707847059
12500,400000,2,2,2706043809
12500,400000,2,2,2663730990
12500,400000,2,2,2640466381
12500,400000,2,2,2642084096
12500,400000,3,1,2805101366
12500,400000,3,1,2770816720
12500,400000,3,1,2763895051
12500,400000,3,1,2627766654
12500,400000,3,1,2781552532
25000,10000,2,2,49043030
25000,10000,2,2,42232682
25000,10000,2,2,48410235
25000,10000,2,2,40849848
25000,10000,2,2,57462802
25000,10000,3,1,37228743
25000,10000,3,1,37203083
25000,10000,3,1,33006027
25000,10000,3,1,37677582
25000,10000,3,1,36907410
25000,200000,2,2,1089480357
25000,200000,2,2,1166213223
25000,200000,2,2,1100529211
25000,200000,2,2,1113566061
25000,200000,2,2,1106520833
25000,200000,3,1,1162158279
25000,200000,3,1,1165075928
25000,200000,3,1,1143551013
25000,200000,3,1,1132056874
25000,200000,3,1,1094354027
25000,400000,2,2,2671659290
25000,400000,2,2,2734185640
25000,400000,2,2,2650702825
25000,400000,2,2,2600603821
25000,400000,2,2,2644303420
25000,400000,3,1,2845889632
25000,400000,3,1,2709056594
25000,400000,3,1,2652358831
25000,400000,3,1,2616195537
25000,400000,3,1,2693948849
50000,10000,2,2,56607759
50000,10000,2,2,47643222
50000,10000,2,2,47074772
50000,10000,2,2,53320617
50000,10000,2,2,57473460
50000,10000,3,1,37275719
50000,10000,3,1,30851048
50000,10000,3,1,36136450
50000,10000,3,1,37210979
50000,10000,3,1,34827831
50000,200000,2,2,1081853652
50000,200000,2,2,1222915328
50000,200000,2,2,1120109948
50000,200000,2,2,1158818635
50000,200000,2,2,1157761475
50000,200000,3,1,1150520842
50000,200000,3,1,1065064637
50000,200000,3,1,1098207250
50000,200000,3,1,1150039239
50000,200000,3,1,1119149898
50000,400000,2,2,2762540246
50000,400000,2,2,2643891688
50000,400000,2,2,2566124166
50000,400000,2,2,2655979148
50000,400000,2,2,2543476167
50000,400000,3,1,2655208976
50000,400000,3,1,2639413565
50000,400000,3,1,2646707884
50000,400000,3,1,2679252441
50000,400000,3,1,2662883447
