split,n,line_consumers,line_searchers,search_segments,time_taken
12500,10000,2,2,3,80582535
12500,10000,2,2,3,67933336
12500,10000,2,2,3,53714584
12500,10000,2,2,3,54204872
12500,10000,2,2,3,50260066
12500,10000,1,3,4,58072306
12500,10000,1,3,4,51368544
12500,10000,1,3,4,50125848
12500,10000,1,3,4,52332146
12500,10000,1,3,4,51798434
12500,10000,2,4,5,61683938
12500,10000,2,4,5,71879722
12500,10000,2,4,5,44088830
12500,10000,2,4,5,47302151
12500,10000,2,4,5,47101221
12500,200000,2,2,3,1177222600
12500,200000,2,2,3,1160385820
12500,200000,2,2,3,1117650217
12500,200000,2,2,3,1181256227
12500,200000,2,2,3,1177415242
12500,200000,1,3,4,1659353530
12500,200000,1,3,4,1589091917
12500,200000,1,3,4,1649650798
12500,200000,1,3,4,1578076617
12500,200000,1,3,4,1609245840
12500,200000,2,4,5,1103464230
12500,200000,2,4,5,1130968923
12500,200000,2,4,5,1090038149
12500,200000,2,4,5,1137852696
12500,200000,2,4,5,1089838008
12500,400000,2,2,3,2746687594
12500,400000,2,2,3,2668393860
12500,400000,2,2,3,2646580773
12500,400000,2,2,3,2560639412
12500,400000,2,2,3,2854620078
12500,400000,1,3,4,3784916256
12500,400000,1,3,4,3837195899
12500,400000,1,3,4,3826137572
12500,400000,1,3,4,3776592015
12500,400000,1,3,4,3887471361
12500,400000,2,4,5,2642976642
12500,400000,2,4,5,2721600392
12500,400000,2,4,5,2656049414
12500,400000,2,4,5,2687061524
12500,400000,2,4,5,2646894209
25000,10000,2,2,3,54416068
25000,10000,2,2,3,54472518
25000,10000,2,2,3,52327409
25000,10000,2,2,3,50099795
25000,10000,2,2,3,51685533
25000,10000,1,3,4,50346912
25000,10000,1,3,4,50963918
25000,10000,1,3,4,60997061
25000,10000,1,3,4,44337132
25000,10000,1,3,4,49552661
25000,10000,2,4,5,44054485
25000,10000,2,4,5,45004666
25000,10000,2,4,5,43681835
25000,10000,2,4,5,49171721
25000,10000,2,4,5,60330712
25000,200000,2,2,3,1148470870
25000,200000,2,2,3,1104867196
25000,200000,2,2,3,1056294716
25000,200000,2,2,3,1116877283
25000,200000,2,2,3,1082441051
25000,200000,1,3,4,1641174971
25000,200000,1,3,4,1569557762
25000,200000,1,3,4,1575350426
25000,200000,1,3,4,1596718622
25000,200000,1,3,4,1588016204
25000,200000,2,4,5,1091018725
25000,200000,2,4,5,1072003676
25000,200000,2,4,5,1119840329
25000,200000,2,4,5,1145490060
25000,200000,2,4,5,1094896029
25000,400000,2,2,3,2670520416
25000,400000,2,2,3,2579393527
25000,400000,2,2,3,2688420672
25000,400000,2,2,3,2569221823
25000,400000,2,2,3,2570166477
25000,400000,1,3,4,3760994772
25000,400000,1,3,4,3709404374
25000,400000,1,3,4,3726858950
25000,400000,1,3,4,3834075345
25000,400000,1,3,4,3853707795
25000,400000,2,4,5,2790890508
25000,400000,2,4,5,2637551496
25000,400000,2,4,5,2601664533
25000,400000,2,4,5,2729988584
25000,400000,2,4,5,2751356385
50000,10000,2,2,3,43788814
50000,10000,2,2,3,53702347
50000,10000,2,2,3,44443717
50000,10000,2,2,3,56625522
50000,10000,2,2,3,49456735
50000,10000,1,3,4,51109583
50000,10000,1,3,4,52651109
50000,10000,1,3,4,51759748
50000,10000,1,3,4,50095058
50000,10000,1,3,4,49327255
50000,10000,2,4,5,46688304
50000,10000,2,4,5,43775393
50000,10000,2,4,5,55052416
50000,10000,2,4,5,44007115
50000,10000,2,4,5,46314864
50000,200000,2,2,3,1217691114
50000,200000,2,2,3,1080857286
50000,200000,2,2,3,1099857334
50000,200000,2,2,3,1184913651
50000,200000,2,2,3,1092960931
50000,200000,1,3,4,1620271798
50000,200000,1,3,4,1627360055
50000,200000,1,3,4,1605112340
50000,200000,1,3,4,1582177353
50000,200000,1,3,4,1588782822
50000,200000,2,4,5,1201202508
50000,200000,2,4,5,1063333233
50000,200000,2,4,5,1126626991
50000,200000,2,4,5,1093883082
50000,200000,2,4,5,1108800950
50000,400000,2,2,3,2617577976
50000,400000,2,2,3,2762086275
50000,400000,2,2,3,2604032679
50000,400000,2,2,3,2678765705
50000,400000,2,2,3,2555480727
50000,400000,1,3,4,3764298098
50000,400000,1,3,4,3681554269
50000,400000,1,3,4,3816509448
50000,400000,1,3,4,3905515308
50000,400000,1,3,4,3742913717
50000,400000,2,4,5,2626479352
50000,400000,2,4,5,2572756872
50000,400000,2,4,5,2596574930
50000,400000,2,4,5,2589314955
50000,400000,2,4,5,2576750629
