nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,2000,240000,2,2,3,3978158542
2,16000,240000,2,2,3,2513006818
2,124000,240000,2,2,3,564529589
2,2000,230000,2,2,3,2607884068
2,16000,230000,2,2,3,2381332775
2,124000,230000,2,2,3,515337457
2,2000,230000,2,2,3,2510255763
2,16000,230000,2,2,3,2323251526
2,124000,230000,2,2,3,451760020
2,2000,220000,2,2,3,2642553124
2,16000,220000,2,2,3,2259470000
2,124000,220000,2,2,3,425475187
2,2000,220000,2,2,3,2538307523
2,16000,220000,2,2,3,2469124155
2,124000,220000,2,2,3,424837657
2,2000,220000,2,2,3,2589670813
2,16000,220000,2,2,3,2307450231
2,124000,220000,2,2,3,409218343
2,2000,210000,2,2,3,2500798197
2,16000,210000,2,2,3,2226315623
2,124000,210000,2,2,3,381545944
2,2000,210000,2,2,3,2207339699
2,16000,210000,2,2,3,2256498671
2,124000,210000,2,2,3,380088109
2,2000,210000,2,2,3,2449270688
2,16000,210000,2,2,3,2170508959
2,124000,210000,2,2,3,401430596
2,2000,210000,2,2,3,2280874858
2,16000,210000,2,2,3,2307103636
2,124000,210000,2,2,3,377831684
2,2000,200000,2,2,3,2542442593
2,16000,200000,2,2,3,2139299151
2,124000,200000,2,2,3,369960643
2,2000,200000,2,2,3,2258039405
2,16000,200000,2,2,3,2360273723
2,124000,200000,2,2,3,368397803
2,2000,200000,2,2,3,2577751154
2,16000,200000,2,2,3,2352088063
2,124000,200000,2,2,3,391249442
2,2000,200000,2,2,3,2381911487
2,16000,200000,2,2,3,2339181512
2,124000,200000,2,2,3,376181209
2,2000,200000,2,2,3,2266684167
2,16000,200000,2,2,3,2309272425
2,124000,200000,2,2,3,379057007
2,2000,190000,2,2,3,2332558691
2,16000,190000,2,2,3,2167445257
2,124000,190000,2,2,3,398868629
2,2000,190000,2,2,3,2184664122
2,16000,190000,2,2,3,2107656689
2,124000,190000,2,2,3,478005771
2,2000,190000,2,2,3,2289410274
2,16000,190000,2,2,3,2138425160
2,124000,190000,2,2,3,364242206
2,2000,190000,2,2,3,2196618125
2,16000,190000,2,2,3,2133337939
2,124000,190000,2,2,3,358387974
2,2000,190000,2,2,3,2160324647
2,16000,190000,2,2,3,2092061455
2,124000,190000,2,2,3,348178398
2,2000,190000,2,2,3,2211076855
2,16000,190000,2,2,3,2155891932
2,124000,190000,2,2,3,359942524
2,2000,180000,2,2,3,2354273431
2,16000,180000,2,2,3,2105297627
2,124000,180000,2,2,3,345151014
2,2000,180000,2,2,3,2119334757
2,16000,180000,2,2,3,2093447839
2,124000,180000,2,2,3,370342767
2,2000,180000,2,2,3,2241484125
2,16000,180000,2,2,3,2104465086
2,124000,180000,2,2,3,371372686
2,2000,180000,2,2,3,2193146640
2,16000,180000,2,2,3,2037164309
2,124000,180000,2,2,3,361212454
2,2000,180000,2,2,3,2302006940
2,16000,180000,2,2,3,1951020642
2,124000,180000,2,2,3,349386746
2,2000,180000,2,2,3,2101876276
2,16000,180000,2,2,3,2077446402
2,124000,180000,2,2,3,357512010
2,2000,180000,2,2,3,2217959822
2,16000,180000,2,2,3,2005620931
2,124000,180000,2,2,3,333782039
2,2000,170000,2,2,3,2041579655
2,16000,170000,2,2,3,1925018060
2,124000,170000,2,2,3,327629766
2,2000,170000,2,2,3,1718093249
2,16000,170000,2,2,3,1921218533
